DOI,Title,Link
10.1016/j.jss.2021.111029,"A bibliometric assessment of software engineering themes, scholars and institutions (2013–2020)",https://www.sciencedirect.com/science/article/pii/S0164121221001266
10.1016/j.jss.2021.111004,Three decades of software reference architectures: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S0164121221001011
10.1016/j.jss.2020.110847,Predicting the emergence of community smells using socio-technical metrics: A machine-learning approach,https://www.sciencedirect.com/science/article/pii/S0164121220302375
10.1016/j.jss.2020.110802,A systematic mapping study of developer social network research,https://www.sciencedirect.com/science/article/pii/S0164121220302077
10.1016/j.jss.2020.110736,Exploring the intersection between software industry and Software Engineering education - A systematic mapping of Software Engineering Trends,https://www.sciencedirect.com/science/article/pii/S0164121220301667
10.1016/j.jss.2021.111008,SWFC-ART: A cost-effective approach for Fixed-Size-Candidate-Set Adaptive Random Testing through small world graphs,https://www.sciencedirect.com/science/article/pii/S0164121221001059
10.1016/j.jss.2021.111034,"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence",https://www.sciencedirect.com/science/article/pii/S016412122100131X
10.1016/j.jss.2020.110885,A systematic mapping study on architectural smells detection,https://www.sciencedirect.com/science/article/pii/S0164121220302752
10.1016/j.jss.2021.110965,Machine learning based success prediction for crowdsourcing software projects,https://www.sciencedirect.com/science/article/pii/S0164121221000625
10.1016/j.jss.2020.110848,Software engineering practices for scientific software development: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S0164121220302387
10.1016/j.jss.2020.110892,Change impact analysis: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S016412122030282X
10.1016/j.jss.2021.111036,SeCNN: A semantic CNN parser for code comment generation,https://www.sciencedirect.com/science/article/pii/S0164121221001333
10.1016/j.jss.2021.111009,"Can we benchmark Code Review studies? A systematic mapping study of methodology, dataset, and metric",https://www.sciencedirect.com/science/article/pii/S0164121221001060
10.1016/j.jss.2020.110871,The role of the project manager in agile software development projects,https://www.sciencedirect.com/science/article/pii/S0164121220302612
10.1016/j.jss.2021.111037,Comparison of search strategies for feature location in software models,https://www.sciencedirect.com/science/article/pii/S0164121221001345
10.1016/j.jss.2021.110923,Don’t run on fumes—Parametric gas bounds for smart contracts,https://www.sciencedirect.com/science/article/pii/S0164121221000200
10.1016/j.jss.2021.110946,Brain and autonomic nervous system activity measurement in software engineering: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0164121221000431
10.1016/j.jss.2020.110870,Initiatives and challenges of using gamification in software engineering: A Systematic Mapping,https://www.sciencedirect.com/science/article/pii/S0164121220302600
10.1016/j.jss.2020.110823,Do scaling agile frameworks address global software development risks? An empirical study,https://www.sciencedirect.com/science/article/pii/S0164121220302181
10.1016/j.jss.2021.111031,A software engineering perspective on engineering machine learning systems: State of the art and challenges,https://www.sciencedirect.com/science/article/pii/S016412122100128X
10.1016/j.jss.2021.111088,Open Data Ecosystems — An empirical investigation into an emerging industry collaboration concept,https://www.sciencedirect.com/science/article/pii/S0164121221001850
10.1016/j.jss.2021.111089,An empirical study of COVID-19 related posts on Stack Overflow: Topics and technologies,https://www.sciencedirect.com/science/article/pii/S0164121221001862
10.1016/j.jss.2021.111070,Custom-tailored clone detection for IEC 61131-3 programming languages,https://www.sciencedirect.com/science/article/pii/S0164121221001679
10.1016/j.jss.2021.111067,ECCOLA — A method for implementing ethically aligned AI systems,https://www.sciencedirect.com/science/article/pii/S0164121221001643
10.1016/j.jss.2021.111068,On researcher bias in Software Engineering experiments,https://www.sciencedirect.com/science/article/pii/S0164121221001655
10.1016/j.jss.2021.111083,Multi-factory production planning using edge computing and IIoT platforms,https://www.sciencedirect.com/science/article/pii/S0164121221001801
10.1016/j.jss.2021.111066,Data correction and evolution analysis of the ProgrammableWeb service ecosystem,https://www.sciencedirect.com/science/article/pii/S0164121221001631
10.1016/j.jss.2021.111044,Learning software configuration spaces: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0164121221001412
10.1016/j.jss.2021.111060,Using metamorphic relations to verify and enhance Artcode classification,https://www.sciencedirect.com/science/article/pii/S0164121221001576
10.1016/j.jss.2021.111069,RepliComment: Identifying clones in code comments,https://www.sciencedirect.com/science/article/pii/S0164121221001667
10.1016/j.jss.2021.111062,Testing multiple linear regression systems with metamorphic testing,https://www.sciencedirect.com/science/article/pii/S016412122100159X
10.1016/j.jss.2021.111064,Agile elicitation of scalability requirements for open systems: A case study,https://www.sciencedirect.com/science/article/pii/S0164121221001618
10.1016/j.jss.2021.111065,Targeting uncertainty in smart CPS by confidence-based logic,https://www.sciencedirect.com/science/article/pii/S016412122100162X
10.1016/j.jss.2021.111059,On the practice of semantic versioning for Ansible galaxy roles: An empirical study and a change classification model,https://www.sciencedirect.com/science/article/pii/S0164121221001564
10.1016/j.jss.2021.111061,"Design, monitoring, and testing of microservices systems: The practitioners’ perspective",https://www.sciencedirect.com/science/article/pii/S0164121221001588
