Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
A case study on the stability of performance tests for serverless applications,"Serverless computing, performance testing, resource management, stability, cloud services",Simon Eismann,Male,"University of Würzburg, Würzburg, Germany",Germany,1,0,1,0,0,1,1,0,1,0,0,1,1,1
,,Diego Elias Costa,Male,"Concordia University, Montreal, Canada",Canada,1,0,1,0,0,1,0,0,1,0,0,1,1,1
,,Lizhi Liao,Male,"Concordia University, Montreal, Canada",Canada,1,0,0,0,0,1,0,0,0,0,0,0,1,1
,,Cor-Paul Bezemer,Male,"University of Alberta, Edmonton, Canada",Canada,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Weiyi Shang,Male,"Concordia University, Montreal, Canada",Canada,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,André van Hoorn,Male,"University of Hamburg, Hamburg, Germany",Germany,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Samuel Kounev,Male,"University of Würzburg, Würzburg, Germany",Germany,1,0,0,1,0,0,0,0,0,1,0,0,0,1
A comprehensive empirical investigation on failure clustering in parallel debugging,"Clustering, debugging, faults, risk evaluation, fault isolation",Yi Song,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Xiaoyuan Xie,Male,"School of Computer Science, Wuhan University",China,1,0,0,0,0,1,0,0,0,1,0,0,0,0
,,Quanming Liu,Male,"School of Computer Science, Wuhan University",China,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,Xihao Zhang,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,Xi Wu,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A novel approach for Software Architecture Product Line Engineering,"Software Architecture, Product Line, Variability, SPL, SAPL",Mohamed Lamine Kerdoudi,Male,University of Biskra,Algeria,1,0,0,0,0,1,0,0,1,0,1,0,1,0
,,Tewfik Ziadi,Male,"Sorbonne Université CNRS, LIP6",France,1,0,0,0,0,1,0,0,1,0,1,1,1,0
,,Chouki Tibermacine,Male,"LIRMM, CNRS, Montpellier University",France,1,0,0,0,0,1,0,0,1,0,1,0,1,0
,,Salah Sadou,Male,"IRISA, University of South Brittany",France,1,0,0,0,0,1,0,0,0,1,1,0,1,0
A qualitative analysis of themes in instant messaging communication of software developers,"software engineering, instant messaging, thematic analysis, communication, chat rooms",Camila Costa Silva,Female,University of Canterbury,New Zealand,1,1,0,0,1,0,0,0,0,0,0,1,1,0
,,Matthias Galster,Male,University of Canterbury,New Zealand,1,0,0,0,1,0,0,0,0,1,0,0,0,1
,,Fabian Gilson,Male,University of Canterbury,New Zealand,0,0,0,0,0,0,0,0,0,1,1,0,0,1
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,"VM placement, security, cloud IaaS, optimization, sampling",Marwa Thabet,Female,"University of Sousse, ISITCom, CES-Laboratory, University of Sfax",Tunisia,1,0,1,0,1,1,0,0,1,0,1,0,1,1
,,Brahim Hnich,Male,"Faculty of Sciences, University of Monastir, CES-Laboratory, University of Sfax",Tunisia,1,0,1,0,0,1,0,0,0,1,1,0,1,1
,,Mouhebeddine Berrima,Male,"Department of Applied Natural Sciences, Applied College, Qassim University, LIPSIC, University of Tunis El Manar","Saudi Arabia, Tunisia",1,0,1,0,0,1,0,0,0,1,1,0,1,1
A software reliability growth model for imperfect debugging,"Software reliability, debugging, error fluctuation, testing, optimization",Yeu-Shiang Huang,Male,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",Taiwan,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Kuei-Chen Chiu,Male,"Department of Finance, Shih Chien University (Kaohsiung Campus)",Taiwan,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,Wan-Ming Chen,Female,"Department of Industrial and Information Management, National Cheng Kung University",Taiwan,0,1,0,0,1,0,0,0,0,0,0,1,1,0
A survey of software architectural change detection and categorization techniques,"software architecture, change detection, design decisions, classification, empirical data",Amit Kumar Mondal,Male,University of Saskatchewan,Canada,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Kevin A. Schneider,Male,University of Saskatchewan,Canada,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Banani Roy,Female,University of Saskatchewan,Canada,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Chanchal K. Roy,Male,University of Saskatchewan,Canada,0,0,0,0,0,0,0,0,0,1,0,0,0,1
A systematic literature review on benchmarks for evaluating debugging approaches,"debugging, benchmarks, fault localization, automated repair, software engineering",Thomas Hirsch,Male,"Institute of Software Technology, Graz University of Technology",Austria,1,0,0,0,0,0,0,0,0,0,1,1,1,1
,,Birgit Hofer,Female,"Institute of Software Technology, Graz University of Technology",Austria,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,"software engineering, instructional screencasts, user survey, crowd-based documentation, how-to tutorial",Parisa Moslehi,Female,"Concordia University, Montreal, Canada",Canada,0,1,1,0,1,1,0,0,1,0,1,0,1,0
,,Juergen Rilling,Male,"Concordia University, Montreal, Canada",Canada,0,0,1,0,0,0,0,0,0,1,1,0,0,1
,,Bram Adams,Male,"Queens University, Kingston, Canada",Canada,0,0,1,0,0,0,0,0,0,1,1,0,0,1
