Paper Title,Study Domain Terms,Total Authors,Female Authors,lead?,local_Contribution?,national_collaboration?,International_collaboration?,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
"Agile software engineers’ affective states, their performance and software quality: A systematic mapping review✩",N/A,4,0,0,1,1,0,Martín G. Salido O.,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,1,0,1,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Gilberto Borrego,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Ramón René Palacio Cinco,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Luis-Felipe Rodríguez,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Architectural tactics in software architecture: A systematic mapping study,"software architecture, quality attributes, systematic design, digital libraries, industrial evidence",3,0,0,0,0,1,Gastón Márquez,Male,"Department of Electronics and Informatics, Universidad Técnica Federico Santa María, Concepción, Chile",Chile,1,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Hernán Astudillo,Male,"Department of Informatics, Universidad Técnica Federico Santa María, Santiago, Chile",Chile,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Rick Kazman,Male,"Department of Information Technology Management, University of Hawaii, Honolulu, HI, USA",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs4Q: A benchmark of existing bugs to enable controlled testing and debugging studies for quantum programs,"Quantum programs, debugging, testing, reproducibility, benchmarking",4,0,0,1,1,0,Pengzhan Zhao,Male,Kyshu University,Japan,0,1,0,0,1,0,1,0,0,0,1,0,1,1
,,,,,,,,Zhongtao Miao,Male,Kyshu University,Japan,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,,,,,,,Shuhan Lan,Male,Kyshu University,Japan,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,,,,,,,,Jianjun Zhao,Male,Kyshu University,Japan,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Identifying refactoring opportunities for large packages by analyzing maintainability characteristics in Java OSS,"Maintainability, refactoring, Java, cohesion, complexity",3,1,0,0,1,0,Haris Mumtaz,Male,"Department of Electrical, Computer, and Software Engineering at the University of Auckland",New Zealand,1,1,1,0,1,1,0,0,0,0,1,1,1,1
,,,,,,,,Paramvir Singh,Male,School of Computer Science at the University of Auckland,New Zealand,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,Kelly Blincoe,Female,"Department of Electrical, Computer, and Software Engineering at the University of Auckland",New Zealand,1,0,0,0,0,1,1,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Study the correlation between the readme file of GitHub projects and their popularity,"GitHub, repository, readme, popularity, updates",3,0,0,0,1,0,Tianlei Wang,Male,"Department of Computer Science, University of Manitoba",Canada,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,,,,,,,Shaowei Wang,Male,"Department of Computer Science, University of Manitoba",Canada,1,0,0,0,0,1,0,0,1,0,0,0,1,1
,,,,,,,,Tse-Hsun (Peter) Chen,Male,"Department of Computer Science and Software Engineering, Concordia University",Canada,0,0,0,0,0,0,0,0,0,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Studying the association between Gitcoin’s issues and resolving outcomes,"Open-source software, Bug bounty platforms, Statistical analysis, Machine learning, Issue resolution",8,3,0,0,0,1,Morakot Choetkiertikul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",Thailand,1,1,1,1,1,1,1,1,0,1,0,1,1,1
,,,,,,,,Arada Puengmongkolchaikit,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",Thailand,0,1,0,0,1,0,0,0,1,0,0,1,1,1
