Paper Title,Conceptualization,FemaleConCep,MaleConCep,Female Conceptualization Ratio,Male Conceptualization Ratio,Data Curation,Female,Male,Female Data_Curation Ratio,Male Data_Curation Ratio,Formal Analysis,Female,Male,Female Formal_Analysis Ratio,Male Formal_Analysis Ratio,Funding Acquisition,Female,Male,Female Funding Acquisition Ratio,Male Funding Acquisition Ratio,Investigation,Female,Male,Female Investigation Ratio,Male Investigation Ratio,Methodology,Female,Male,Female Methodology Ratio,Male Methodology Ratio,Project Administration,Female,Male,Female Project Administration Ratio,Male Project Administration Ratio,Resources,Feamle,Male,Female Resources Ratio,Male Resources Ratio,Software,FemaleSoftware,MaleSoftware,Female Software Ratio,Male Software Ratio,Supervision,FemaleSup,MaleSup,Female Supervision Ratio,Male Supervision Ratio,Validation,FemaleValidation,MaleValidation,Female Validation Ratio,Male Validation Ratio,Visualization,FemaleVisualization,MaleVisualization,Female Visualization Ratio,Male Visualization Ratio,Writing â€“ Original Draft,FemaleOriginalDraft,MaleOriginalDraft,Female Writing â€“ Original Draft Ratio,Male Writing â€“ Original Draft Ratio,Writing â€“ Review & Editing,FemaleReview,MaleReview,Female Writing â€“ Review & Editing Ratio,Male Writing â€“ Review & Editing Ratio
Requirements for adopting software process lines,1,1,0,1.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.33,1,1,0,1.00,0.00,0,0,0,0.00,0.33,0,0,0,0.00,0.67,0,0,0,0.00,0.00,0,0,0,0.00,0.67,0,0,0,0.00,0.33,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,1,0,1,0.00,0.33,0,0,0,0.00,0.33,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,1.00,0.33,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,1.00,0.00,0,0,0,0.00,0.33,0,0,0,1.00,0.00,0,0,0,0.00,0.67
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
A classification framework for automated control code generation in industrial automation,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,1.00,0.67,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,0.00,0.00,1,0,1,0.00,0.33,1,0,1,0.00,0.33,0,0,0,1.00,0.67
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,1,0,1,1.00,1.00,1,0,1,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.50,0,0,0,0.00,0.00,1,0,1,1.00,1.00,1,0,1,0.00,1.00,1,0,1,0.00,1.00
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,
Generating summaries for methods of event-driven programs: An Android case study,1,0,1,1.00,0.50,0,0,0,0.00,0.00,1,0,1,1.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,0,0,0,0.00,0.50,0,0,0,0.00,0.00,1,0,1,1.00,0.50,0,0,0,0.00,0.50,1,0,1,1.00,0.50,0,0,0,0.00,0.00,1,0,1,1.00,0.50,0,0,0,0.00,0.50
,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
A systematic study of reward for reinforcement learning based continuous integration testing,0,0,0,0.00,0.50,0,0,0,0.50,0.00,0,0,0,0.50,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,1,0,1,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.50,0.00,0,0,0,0.00,0.50,0,0,0,0.50,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,0.00,0.50
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,
Integrating UX work with agile development through user stories: An action research study in a small software company,1,1,0,1.00,1.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,0,0,0,0.00,0.33,1,0,1,0.00,0.33,0,0,0,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,1.00,0.00,0,0,0,0.00,0.33,0,0,0,0.00,0.00,0,0,0,1.00,0.00,1,0,1,0.00,0.33,0,0,0,0.00,0.33
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
